symbol,date,quarter,positive_score,negative_score,neutral_score,polarity,sentiment_confidence,optimism_ratio,caution_ratio,transcript_length,word_complexity,price_volatility,prev_quarter_movement,label
REGN,2021-05-06,2021-Q1,0.0751,0.0319,0.893,0.0432,0.8611,0.9167,0.0833,4367,6.4768,0.2333,-1.75,1
PAYX,2022-06-29,2022-Q4,0.0792,0.0276,0.8932,0.0516,0.8656,0.8276,0.1724,6173,5.6763,0.3243,7.2688,0
CMCSA,2019-07-25,2019-Q2,0.1216,0.0219,0.8565,0.0997,0.8346,0.9516,0.0484,4435,6.1903,0.1677,,0
ADP,2020-10-28,2021-Q1,0.083,0.0509,0.8661,0.0321,0.8152,0.7101,0.2899,4966,5.969,0.2183,-7.7272,1
CAG,2022-04-07,2022-Q3,0.09,0.0291,0.8809,0.0609,0.8518,0.7576,0.2424,4566,6.0162,0.3664,-0.2349,1
PTC,2021-04-28,2021-Q2,0.099,0.0211,0.8799,0.078,0.8588,0.9245,0.0755,3625,6.0102,0.3591,4.68,0
MRK,2021-10-28,2021-Q3,0.1361,0.0231,0.8408,0.113,0.8177,0.9571,0.0429,4217,6.5511,0.3428,-1.07,1
TECH,2021-02-02,2021-Q2,0.0841,0.0276,0.8883,0.0565,0.8607,0.8393,0.1607,4827,5.8931,0.3619,15.4923,1
A,2020-08-18,2020-Q3,0.0893,0.0433,0.8675,0.046,0.8242,0.8393,0.1607,4760,5.845,0.2274,2.9524,1
WM,2023-02-01,2022-Q4,0.0681,0.0242,0.9077,0.0439,0.8835,0.8333,0.1667,5938,5.857,0.2289,-2.6554,0
DXCM,2021-10-28,2021-Q3,0.0713,0.0214,0.9073,0.0499,0.8859,0.8929,0.1071,4430,5.807,0.2747,15.1664,1
KO,2020-04-21,2020-Q1,0.0543,0.0265,0.9192,0.0278,0.8927,0.7812,0.2188,4542,6.0421,0.7162,,0
BLK,2019-10-15,2019-Q3,0.0699,0.0224,0.9078,0.0475,0.8854,0.8163,0.1837,4028,6.3734,0.2375,,1
EVRG,2021-02-26,2020-Q4,0.0773,0.0243,0.8984,0.0529,0.8741,0.8214,0.1786,3768,6.2203,0.2463,4.049,1
LNT,2020-08-07,2020-Q2,0.0571,0.0266,0.9163,0.0306,0.8897,0.7222,0.2778,2068,6.1552,0.1867,,0
AMZN,2021-10-28,2021-Q3,0.0649,0.036,0.899,0.0289,0.863,0.6667,0.3333,3190,5.7878,0.2344,-9.0161,0
O,2022-11-03,2022-Q3,0.059,0.0257,0.9153,0.0333,0.8896,0.871,0.129,4049,6.0168,0.2627,-0.1629,1
PLD,2021-04-19,2021-Q1,0.0712,0.0235,0.9053,0.0476,0.8818,0.9,0.1,3828,5.8378,0.2197,0.4869,1
EQR,2020-07-29,2020-Q2,0.0535,0.0438,0.9027,0.0097,0.8589,0.5106,0.4894,6387,5.8143,0.2771,1.616,0
EOG,2021-02-26,2020-Q4,0.0847,0.0265,0.8888,0.0583,0.8623,0.86,0.14,3993,5.8663,0.5778,1.3,1
HON,2021-10-22,2021-Q3,0.1092,0.0444,0.8464,0.0648,0.802,0.8228,0.1772,4632,6.144,0.1423,0.3614,0
CSX,2021-04-20,2021-Q1,0.1211,0.0391,0.8397,0.082,0.8006,0.7385,0.2615,5091,5.7963,0.1998,-6.2918,1
NOW,2020-01-29,2019-Q4,0.0659,0.0214,0.9126,0.0445,0.8912,0.96,0.04,3940,6.0868,0.168,1.5774,1
RF,2022-04-22,2022-Q1,0.1029,0.0283,0.8689,0.0746,0.8406,0.7021,0.2979,3684,5.7628,0.3189,-6.4087,1
MNST,2020-08-04,2020-Q2,0.0768,0.1442,0.779,-0.0674,0.7022,0.4286,0.5714,3434,6.078,0.179,11.7886,1
CHD,2021-07-30,2021-Q2,0.0561,0.0318,0.9122,0.0243,0.8804,0.5476,0.4524,3998,5.7511,0.1335,3.8922,0
PNC,2022-07-15,2022-Q2,0.1066,0.0282,0.8653,0.0784,0.8371,0.7391,0.2609,4447,5.5422,0.2666,-2.4277,0
AAPL,2022-04-28,2022-Q2,0.0798,0.0306,0.8895,0.0492,0.8589,0.7826,0.2174,3730,5.989,0.2705,8.0373,1
WM,2021-10-26,2021-Q3,0.086,0.0267,0.8874,0.0593,0.8607,0.7538,0.2462,4992,5.765,0.1536,1.07,0
HAL,2021-04-21,2021-Q1,0.1074,0.0276,0.865,0.0798,0.8374,0.8824,0.1176,4220,6.2235,0.3581,-6.33,0
DLR,2021-04-29,2021-Q1,0.0651,0.031,0.9039,0.0341,0.8729,0.8846,0.1154,4167,6.0562,0.2404,-6.265,1
MAS,2021-10-27,2021-Q3,0.101,0.0237,0.8753,0.0772,0.8516,0.9,0.1,4370,5.962,0.1629,1.7,1
CDW,2021-11-03,2021-Q3,0.0794,0.0299,0.8907,0.0495,0.8608,0.8393,0.1607,4559,6.1009,0.2904,3.245,0
A,2020-05-21,2020-Q2,0.0654,0.0356,0.899,0.0298,0.8634,0.6304,0.3696,4824,5.9328,0.3474,0.3303,1
